support,itemsets
0.018617075301143635,frozenset({'airnails'})
0.031150338215279613,frozenset({'art'})
0.011791830018891303,frozenset({'artex'})
0.01829206362103638,frozenset({'beautix'})
0.01785532917589226,frozenset({'benovy'})
0.05067135225172155,frozenset({'bluesky'})
0.11270795669219362,frozenset({'bpw_style'})
0.017469377805764894,frozenset({'browxenna'})
0.032805866460825936,frozenset({'cnd'})
0.056887200633772776,frozenset({'concept'})
0.03754900566739117,frozenset({'cosmoprofi'})
0.03795527026752524,frozenset({'de_lux'})
0.01442239330475939,frozenset({'depilflax'})
0.010898047898596356,frozenset({'dewal'})
0.012523106299132626,frozenset({'dizao'})
0.08930711572447135,frozenset({'domix'})
0.09333929188080196,frozenset({'estel'})
0.025096995673282007,frozenset({'f_o_x'})
0.013863779479575048,frozenset({'farmstay'})
0.06280850718072681,frozenset({'freedecor'})
0.17418594730748135,frozenset({'grattol'})
0.03897093176786041,frozenset({'haruyama'})
0.012380913689085702,frozenset({'igrobeauty'})
0.12422555810599444,frozenset({'ingarden'})
0.308669686566861,frozenset({'irisk'})
0.07278230311401816,frozenset({'italwax'})
0.05721221231388003,frozenset({'jessnail'})
0.010369903918422069,frozenset({'kaaral'})
0.0733002904791891,frozenset({'kapous'})
0.010176928233358386,frozenset({'kinetics'})
0.0144833329947795,frozenset({'levrana'})
0.03276524000081253,frozenset({'lianail'})
0.04224136179893965,frozenset({'lovely'})
0.014523959454792906,frozenset({'markell'})
0.1299945154278982,frozenset({'masura'})
0.03305978183590973,frozenset({'metzger'})
0.06603831075179264,frozenset({'milv'})
0.030388592090028234,frozenset({'nagaraku'})
0.014087225009648784,frozenset({'nitrimax'})
0.018911617136240833,frozenset({'oniq'})
0.025980621178573606,frozenset({'pnb'})
0.04389689004448597,frozenset({'pole'})
0.021034349671941337,frozenset({'rosi'})
0.03061203762010197,frozenset({'roubloff'})
0.35965589388368646,frozenset({'runail'})
0.07286355603404497,frozenset({'severina'})
0.01044100022344553,frozenset({'shik'})
0.010349590688415365,frozenset({'skinlite'})
0.018363159926059844,frozenset({'smart'})
0.01736781165573138,frozenset({'solomeya'})
0.03783339088748502,frozenset({'staleks'})
0.015052103434967195,frozenset({'swarovski'})
0.09370493002092263,frozenset({'uno'})
0.021146072436978205,frozenset({'uskusi'})
0.031150338215279613,frozenset({'visage'})
0.04913770338621544,frozenset({'yoko'})
0.06118344878019054,frozenset({'zinger'})
0.013020780434296858,"frozenset({'irisk', 'art'})"
0.01255357614414268,"frozenset({'runail', 'art'})"
0.031150338215279613,"frozenset({'visage', 'art'})"
0.011609010948830973,"frozenset({'irisk', 'benovy'})"
0.01158869771882427,"frozenset({'benovy', 'runail'})"
0.011690263868857787,"frozenset({'bpw_style', 'bluesky'})"
0.013934875784598509,"frozenset({'bluesky', 'grattol'})"
0.012340287229072294,"frozenset({'bluesky', 'ingarden'})"
0.025482947043409372,"frozenset({'irisk', 'bluesky'})"
0.01364033394950131,"frozenset({'masura', 'bluesky'})"
0.030642507465112028,"frozenset({'bluesky', 'runail'})"
0.02105466290194804,"frozenset({'de_lux', 'bpw_style'})"
0.020110097706636333,"frozenset({'domix', 'bpw_style'})"
0.0467915253204412,"frozenset({'freedecor', 'bpw_style'})"
0.04274919254910723,"frozenset({'bpw_style', 'grattol'})"
0.011385565418757236,"frozenset({'bpw_style', 'haruyama'})"
0.03613723618192529,"frozenset({'bpw_style', 'ingarden'})"
0.06268662780068658,"frozenset({'irisk', 'bpw_style'})"
0.012055902008978448,"frozenset({'bpw_style', 'jessnail'})"
0.03090657945519917,"frozenset({'masura', 'bpw_style'})"
0.02758536634910317,"frozenset({'milv', 'bpw_style'})"
0.011710577098864491,"frozenset({'bpw_style', 'pole'})"
0.07044628166324728,"frozenset({'bpw_style', 'runail'})"
0.016443559690426376,"frozenset({'bpw_style', 'severina'})"
0.023390684352718925,"frozenset({'uno', 'bpw_style'})"
0.012868431209246581,"frozenset({'bpw_style', 'zinger'})"
0.014798188059883402,"frozenset({'estel', 'concept'})"
0.013355948729407463,"frozenset({'irisk', 'concept'})"
0.01285827459424323,"frozenset({'kapous', 'concept'})"
0.014280200694712466,"frozenset({'runail', 'concept'})"
0.014889597594913567,"frozenset({'cosmoprofi', 'grattol'})"
0.0102581811533852,"frozenset({'cosmoprofi', 'ingarden'})"
0.01979524264153243,"frozenset({'cosmoprofi', 'irisk'})"
0.02468057445814459,"frozenset({'cosmoprofi', 'runail'})"
0.013792683174551585,"frozenset({'de_lux', 'freedecor'})"
0.014828657904893457,"frozenset({'de_lux', 'grattol'})"
0.01586463263523533,"frozenset({'de_lux', 'ingarden'})"
0.02394929817790327,"frozenset({'irisk', 'de_lux'})"
0.011497288183794105,"frozenset({'masura', 'de_lux'})"
0.010613662678502509,"frozenset({'milv', 'de_lux'})"
0.026640801153791464,"frozenset({'de_lux', 'runail'})"
0.010857421438582949,"frozenset({'domix', 'freedecor'})"
0.024599321538117776,"frozenset({'domix', 'grattol'})"
0.021928131792236284,"frozenset({'domix', 'ingarden'})"
0.04938146214629588,"frozenset({'irisk', 'domix'})"
0.011537914643807512,"frozenset({'domix', 'jessnail'})"
0.019165532511324624,"frozenset({'masura', 'domix'})"
0.014148164699668894,"frozenset({'milv', 'domix'})"
0.053210506002559464,"frozenset({'domix', 'runail'})"
0.015173982815007415,"frozenset({'domix', 'severina'})"
0.01603729509029231,"frozenset({'uno', 'domix'})"
0.012563732759146032,"frozenset({'domix', 'zinger'})"
0.019896808791565947,"frozenset({'irisk', 'estel'})"
0.01792642548091572,"frozenset({'estel', 'kapous'})"
0.02101403644193463,"frozenset({'estel', 'runail'})"
0.01195433585894493,"frozenset({'irisk', 'f_o_x'})"
0.01339657518942087,"frozenset({'runail', 'f_o_x'})"
0.024406345853054096,"frozenset({'freedecor', 'grattol'})"
0.0214203010420687,"frozenset({'freedecor', 'ingarden'})"
0.035202827601616936,"frozenset({'irisk', 'freedecor'})"
0.01762172703081517,"frozenset({'masura', 'freedecor'})"
0.01974445956651567,"frozenset({'milv', 'freedecor'})"
0.038432631172682766,"frozenset({'freedecor', 'runail'})"
0.013284852424384002,"frozenset({'uno', 'freedecor'})"
0.017469377805764894,"frozenset({'haruyama', 'grattol'})"
0.04535944260496862,"frozenset({'ingarden', 'grattol'})"
0.07657072051026834,"frozenset({'irisk', 'grattol'})"
0.014808344674886753,"frozenset({'jessnail', 'grattol'})"
0.014371610229742631,"frozenset({'lianail', 'grattol'})"
0.012441853379105812,"frozenset({'lovely', 'grattol'})"
0.03733571675232079,"frozenset({'masura', 'grattol'})"
0.019521014036441936,"frozenset({'milv', 'grattol'})"
0.013264539194377298,"frozenset({'pole', 'grattol'})"
0.01249263645412257,"frozenset({'roubloff', 'grattol'})"
0.0908102947449674,"frozenset({'runail', 'grattol'})"
0.020496049076763695,"frozenset({'severina', 'grattol'})"
0.011273842653720369,"frozenset({'staleks', 'grattol'})"
0.036421621402019135,"frozenset({'uno', 'grattol'})"
0.013051250279306913,"frozenset({'yoko', 'grattol'})"
0.01737796827073473,"frozenset({'zinger', 'grattol'})"
0.011720733713867842,"frozenset({'ingarden', 'haruyama'})"
0.01899287005626765,"frozenset({'irisk', 'haruyama'})"
0.0111621198886835,"frozenset({'masura', 'haruyama'})"
0.023238335127668652,"frozenset({'runail', 'haruyama'})"
