support,itemsets
0.011835176170397583,frozenset({'1487580004857414477'})
0.013916285130024068,frozenset({'1487580004882580302'})
0.03934200763676505,frozenset({'1487580004916134735'})
0.01155467887583923,frozenset({'1487580005008409427'})
0.029895582620025698,frozenset({'1487580005050352469'})
0.2124359832787419,frozenset({'1487580005092295511'})
0.05851535496480211,frozenset({'1487580005134238553'})
0.17915633652436708,frozenset({'1487580005268456287'})
0.015608317197198646,frozenset({'1487580005411062629'})
0.03339727465209287,frozenset({'1487580005427839846'})
0.027298720570404823,frozenset({'1487580005461394279'})
0.042843699668832225,frozenset({'1487580005511725929'})
0.043965688847065636,frozenset({'1487580005553668971'})
0.10928536527986392,frozenset({'1487580005595612013'})
0.09313415009319749,frozenset({'1487580005671109489'})
0.04521435422284153,frozenset({'1487580005713052531'})
0.048598418357190684,frozenset({'1487580005754995573'})
0.019598617419786822,frozenset({'1487580005855658874'})
0.014305362022475976,frozenset({'1487580006132482952'})
0.03159666298702474,frozenset({'1487580006300255120'})
0.14411227130422194,frozenset({'1487580006317032337'})
0.028882173039685842,frozenset({'1487580006350586771'})
0.04834506596210572,frozenset({'1487580006509970331'})
0.05130386000470512,frozenset({'1487580006551913373'})
0.017969923451383485,frozenset({'1487580006895846315'})
0.013183372844242567,frozenset({'1487580006962955182'})
0.05987259993847156,frozenset({'1487580007256556476'})
0.07458513545304837,frozenset({'1487580007281722301'})
0.0461010876056389,frozenset({'1487580007306888126'})
0.013572449736694475,frozenset({'1487580007399162817'})
0.043386597658300004,frozenset({'1487580007432717250'})
0.010876056389004506,frozenset({'1487580007483048900'})
0.017779909155069763,frozenset({'1487580007575323592'})
0.013273855842487197,frozenset({'1487580007592100809'})
0.04297942416619917,frozenset({'1487580007634043851'})
0.1215820047413091,frozenset({'1487580007675986893'})
0.01886570513400532,frozenset({'1487580007717929935'})
0.015563075698076332,frozenset({'1487580007776650194'})
0.03880815794712174,frozenset({'1487580007852147670'})
0.03974013282904142,frozenset({'1487580007910867929'})
0.039314862737291664,frozenset({'1487580007936033754'})
0.025371432707794205,frozenset({'1487580007952810971'})
0.012016142166886842,frozenset({'1487580008112194531'})
0.09531479035089306,frozenset({'1487580008145748965'})
0.054678875839229805,frozenset({'1487580008187692007'})
0.1030058452016866,frozenset({'1487580008246412266'})
0.05243489748276299,frozenset({'1487580008263189483'})
0.02417705713096509,frozenset({'1487580008288355308'})
0.024801389818853038,frozenset({'1487580008313521133'})
0.012206156463200564,frozenset({'1487580008657454075'})
0.010079806004451764,frozenset({'1487580008774893569'})
0.026430083787256375,frozenset({'1487580009051717646'})
0.02478329321920411,frozenset({'1487580009143992338'})
0.010695090392515247,frozenset({'1487580009202712597'})
0.01137371287934997,frozenset({'1487580009227878422'})
0.012233301362673954,frozenset({'1487580009261432856'})
0.14703487214752348,frozenset({'1487580009286598681'})
0.07702817640565338,frozenset({'1487580009311764506'})
0.031370455491413166,frozenset({'1487580009362096156'})
0.07415081706147415,frozenset({'1487580009387261981'})
0.12616949275231185,frozenset({'1487580009445982239'})
0.07128250601711938,frozenset({'1487580009471148064'})
0.03950487703360538,frozenset({'1487580009496313889'})
0.017001755370165947,frozenset({'1487580009521479714'})
0.054154074449410956,frozenset({'1487580009605365797'})
0.010260772000941023,frozenset({'1487580009622143014'})
0.08225809370419299,frozenset({'1487580010100293687'})
0.03892578584483975,frozenset({'1487580010125459512'})
0.023199840749923088,frozenset({'1487580010628776014'})
0.018494724841202338,frozenset({'1487580010645553231'})
0.02626721439041604,frozenset({'1487580010796548183'})
0.01968910041803145,frozenset({'1487580010821714008'})
0.019571472520313434,frozenset({'1487580010872045658'})
0.025579543603756853,frozenset({'1487580011283087468'})
0.01712843156770843,frozenset({'1487580011383750769'})
0.01292097214933314,frozenset({'1487580011501191286'})
0.012332832660743046,frozenset({'1487580011534745720'})
0.043178486762337355,frozenset({'1487580011585077370'})
0.024801389818853038,frozenset({'1487580011627020412'})
0.027099657974266635,frozenset({'1487580011652186237'})
0.011844224470222046,frozenset({'1487580011677352062'})
0.017037948569463796,frozenset({'1487580011702517887'})
0.016540292079118335,frozenset({'1487580011853512836'})
0.011201795182685173,frozenset({'1487580012021285001'})
0.041956966286034854,frozenset({'1487580012096782476'})
0.02101920049222751,frozenset({'1487580012902088873'})
0.01996054941276534,frozenset({'1487580012927254698'})
0.019634810619084675,frozenset({'1487580012969197740'})
0.021037297091876437,frozenset({'1487580012994363565'})
0.04046399681499846,frozenset({'1487580013011140782'})
0.019444796322770953,frozenset({'1487580013027917999'})
0.023398903346061276,frozenset({'1487580013053083824'})
0.03114424799580159,frozenset({'1487580013069861041'})
0.010188385602345319,frozenset({'1487580013145358517'})
0.021869740675727032,frozenset({'1487580013388628160'})
0.014024864727917623,frozenset({'1487580013413793985'})
0.012957165348630992,frozenset({'1487580013472514244'})
0.014450134819667384,frozenset({'1487580013489291461'})
0.014115347726162254,frozenset({'1487580013506068678'})
0.04401093034618795,frozenset({'1487580013522845895'})
0.011808031270924193,frozenset({'1487580013539623112'})
0.03869053004940372,frozenset({'1487580013581566154'})
0.023073164552380607,frozenset({'1487580013749338323'})
0.010441737997430282,frozenset({'1487580013824835799'})
0.05714001339148374,frozenset({'1487580013841613016'})
0.03812048716046255,frozenset({'1487580013858390233'})
0.04056352811306756,frozenset({'1487580013950664926'})
0.01003456450532945,frozenset({'1495705810662064688'})
0.010722235291988635,frozenset({'1511892746070131099'})
0.010396496498307968,frozenset({'1516331853567492962'})
0.010912249588302359,frozenset({'1542195323827388674'})
0.012975261948279918,frozenset({'1597770225539875791'})
0.1139542879892868,frozenset({'1602943681873052386'})
0.03124377929387068,frozenset({'1605161575889502297'})
0.017843247253841003,frozenset({'1638456119066100510'})
0.017300349264373224,frozenset({'1658462125284131265'})
0.012197108163376102,frozenset({'1752742615205281895'})
0.04490671202880979,frozenset({'1783999063314661546'})
0.02641198718760745,frozenset({'1783999064103190764'})
0.028773593441792287,frozenset({'1783999064136745198'})
0.04740404278036157,frozenset({'1783999067156644376'})
0.013916285130024068,frozenset({'1783999068867920626'})
0.033578240648582135,frozenset({'1783999068909863670'})
0.01361769123581679,frozenset({'1783999071199952917'})
0.0236613040409707,frozenset({'1783999072332415142'})
0.011898514269168823,frozenset({'1891434214553813877'})
0.024756148319730723,frozenset({'1897124478404526487'})
0.034464974031379506,frozenset({'2007399943458784057'})
0.010079806004451764,frozenset({'2029082628195353599'})
0.018947139832425488,frozenset({'2055161088059638328'})
0.03175048408404061,frozenset({'2084144451428549153'})
0.018295662245064154,frozenset({'2115334439910245200'})
0.022494073363614978,frozenset({'2140803113261466607'})
0.011817079570748656,frozenset({'2141560642253881670'})
0.01103892578584484,frozenset({'2151191070984110951'})
0.014576811017209866,frozenset({'2151191071051219817'})
0.01847662824155341,frozenset({'2151191071118328683'})
0.0280859226551331,frozenset({'2151191071378375538'})
0.02433087822798096,frozenset({'2193074740552270669'})
0.04033732061745598,frozenset({'2195085255034011676'})
0.012305687761269658,frozenset({'2195085258272014535'})
0.016612678477714037,frozenset({'2196456817641391019'})
0.021761161077833473,"frozenset({'1487580005092295511', '1487580004916134735'})"
0.019607665719611284,"frozenset({'1487580004916134735', '1487580005268456287'})"
0.010459834597079208,"frozenset({'1487580004916134735', '1487580005595612013'})"
0.013753415733183734,"frozenset({'1487580004916134735', '1487580006317032337'})"
0.01422392732405581,"frozenset({'1487580004916134735', '1487580007675986893'})"
0.011789934671275268,"frozenset({'1487580004916134735', '1487580009286598681'})"
0.011654210173908323,"frozenset({'1487580009445982239', '1487580004916134735'})"
0.017119383267883963,"frozenset({'1487580004916134735', '1602943681873052386'})"
0.015744041694565593,"frozenset({'1487580005050352469', '1487580005092295511'})"
0.014685390615103423,"frozenset({'1487580005050352469', '1487580005268456287'})"
0.0100707577046273,"frozenset({'1487580005050352469', '1487580006317032337'})"
0.010115999203749615,"frozenset({'1487580005050352469', '1487580007675986893'})"
0.011518485676541379,"frozenset({'1487580005050352469', '1602943681873052386'})"
0.028122115854430953,"frozenset({'1487580005092295511', '1487580005134238553'})"
0.1193832678839646,"frozenset({'1487580005092295511', '1487580005268456287'})"
0.015517834198954016,"frozenset({'1487580005092295511', '1487580005427839846'})"
0.010115999203749615,"frozenset({'1487580005092295511', '1487580005461394279'})"
0.022159286270109848,"frozenset({'1487580005092295511', '1487580005511725929'})"
0.016621726777538502,"frozenset({'1487580005553668971', '1487580005092295511'})"
0.04922275104507863,"frozenset({'1487580005092295511', '1487580005595612013'})"
0.039541070232903236,"frozenset({'1487580005092295511', '1487580005671109489'})"
0.02198736857344505,"frozenset({'1487580005092295511', '1487580005713052531'})"
0.024149912231491703,"frozenset({'1487580005754995573', '1487580005092295511'})"
0.06093125101793373,"frozenset({'1487580005092295511', '1487580006317032337'})"
0.011627065274434934,"frozenset({'1487580005092295511', '1487580006350586771'})"
0.022729329159051015,"frozenset({'1487580006509970331', '1487580005092295511'})"
0.02519951501112941,"frozenset({'1487580006551913373', '1487580005092295511'})"
0.02747063826706962,"frozenset({'1487580005092295511', '1487580007256556476'})"
0.03682658028556434,"frozenset({'1487580005092295511', '1487580007281722301'})"
0.02129969778678586,"frozenset({'1487580005092295511', '1487580007306888126'})"
0.020032935811361046,"frozenset({'1487580007432717250', '1487580005092295511'})"
0.02077489639696701,"frozenset({'1487580005092295511', '1487580007634043851'})"
0.05298684377205523,"frozenset({'1487580005092295511', '1487580007675986893'})"
0.013409580339854142,"frozenset({'1487580005092295511', '1487580007852147670'})"
