antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'1487580004916134735'}),frozenset({'1487580005092295511'}),0.03934200763676505,0.2124359832787419,0.021761161077833473,0.5531278748850046,2.6037390951759494,0.013403503001357517,1.7623923544539526,0.6411615232072989
frozenset({'1487580005050352469'}),frozenset({'1487580005092295511'}),0.029895582620025698,0.2124359832787419,0.015744041694565593,0.526634382566586,2.4790262668240035,0.009393144204989566,1.6637541632014303,0.6150016435064128
frozenset({'1487580005092295511'}),frozenset({'1487580005268456287'}),0.2124359832787419,0.17915633652436708,0.1193832678839646,0.5619729108101201,3.13677384630873,0.0813240153737935,1.8739563915870197,0.8649469783223658
frozenset({'1487580005268456287'}),frozenset({'1487580005092295511'}),0.17915633652436708,0.2124359832787419,0.1193832678839646,0.6663636363636363,3.1367738463087296,0.0813240153737935,2.3605460991645333,0.8298792410897367
frozenset({'1487580005511725929'}),frozenset({'1487580005092295511'}),0.042843699668832225,0.2124359832787419,0.022159286270109848,0.5172122492080254,2.4346734542112856,0.013057742803662365,1.6312841728675231,0.615643756822652
frozenset({'1487580009387261981'}),frozenset({'1487580005092295511'}),0.07415081706147415,0.2124359832787419,0.0415045512948117,0.559731543624161,2.6348245480132477,0.02575224956143533,1.7888268062723693,0.6701610789981817
frozenset({'1605161575889502297'}),frozenset({'1487580005092295511'}),0.03124377929387068,0.2124359832787419,0.01798802005103241,0.5757312481899798,2.710139964539577,0.011350717075394996,1.856285699480208,0.651366518825276
frozenset({'1783999068909863670'}),frozenset({'1487580005092295511'}),0.033578240648582135,0.2124359832787419,0.01685698257297454,0.502021018593371,2.363163767480287,0.009723756004022772,1.5815205985133054,0.5968806708963376
frozenset({'2055161088059638328'}),frozenset({'1487580005092295511'}),0.018947139832425488,0.2124359832787419,0.01052317269585045,0.5553963705826169,2.614417585997515,0.006498118415229324,1.7713845875556542,0.6294315606530306
frozenset({'2193074740552270669'}),frozenset({'1487580005092295511'}),0.02433087822798096,0.2124359832787419,0.013120034745471326,0.5392339159538863,2.5383360560265613,0.007951280705074858,1.7092491048938363,0.6211543628625273
frozenset({'1487580009387261981'}),frozenset({'1487580005268456287'}),0.07415081706147415,0.17915633652436708,0.03796666606344668,0.512019524100061,2.8579481699237648,0.024682077328424437,1.6821239865423385,0.7021647099741452
frozenset({'1605161575889502297'}),frozenset({'1487580005268456287'}),0.03124377929387068,0.17915633652436708,0.016060732188421797,0.5140457573124819,2.869258030639438,0.01046321115095605,1.6891377651855546,0.6724889382058945
frozenset({'2193074740552270669'}),frozenset({'1487580005268456287'}),0.02433087822798096,0.17915633652436708,0.012378074159865362,0.5087393082930458,2.83963893302681,0.008019043152119808,1.6708922112687186,0.6639982115933073
